species_const	internal_index	natdex_num	species_name	form_type	form_markers	type_1	type_2	base_hp	base_atk	base_def	base_spa	base_spd	base_spe	bst	ability_1	ability_2	ability_hidden	catch_rate	exp_yield	exp_yield_note	ev_yield	gender_ratio_pct_female	egg_cycles	egg_group_1	egg_group_2	friendship	growth_rate	evolutions	levelup_moves	teachable_moves	egg_moves	is_legendary	is_mythical	wild_availability	wild_obtainable	source_file	source_line	confidence	is_starter	starter_pool	starter_lineage_of	availability_channels
SPECIES_BULBASAUR	1	1	Bulbasaur	base	NONE	TYPE_GRASS	TYPE_POISON	45	49	49	65	65	45	318	ABILITY_OVERGROW	ABILITY_NONE	ABILITY_CHLOROPHYLL	45	64	literal	SpAttack:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_GRASS	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	EVO_LEVEL:16:SPECIES_IVYSAUR	MOVE_TACKLE:1,MOVE_GROWL:3,MOVE_LEECH_SEED:7,MOVE_MAGICAL_LEAF:9,MOVE_POISON_POWDER:13,MOVE_SLEEP_POWDER:13,MOVE_SLUDGE:15,MOVE_MEGA_DRAIN:19,MOVE_TAKE_DOWN:21,MOVE_GROWTH:25,MOVE_DOUBLE_EDGE:27,MOVE_WORRY_SEED:31,MOVE_SYNTHESIS:33,MOVE_SEED_BOMB:37	MOVE_SEED_BOMB,MOVE_BULLET_SEED,MOVE_LIGHT_SCREEN,MOVE_GIGA_DRAIN,MOVE_WEATHER_BALL,MOVE_DIG,MOVE_REFLECT,MOVE_SLUDGE_BOMB,MOVE_ENERGY_BALL,MOVE_GRASSY_GLIDE,MOVE_VENOSHOCK,MOVE_KNOCK_OFF,MOVE_GRASS_KNOT,MOVE_CUT,MOVE_STRENGTH,MOVE_FLASH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_SWORDS_DANCE,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_POWER_WHIP	MOVE_SKULL_BASH,MOVE_CHARM,MOVE_PETAL_DANCE,MOVE_MAGICAL_LEAF,MOVE_GRASS_WHISTLE,MOVE_CURSE,MOVE_INGRAIN,MOVE_NATURE_POWER,MOVE_AMNESIA,MOVE_LEAF_STORM,MOVE_POWER_WHIP,MOVE_SLUDGE,MOVE_ENDURE,MOVE_GIGA_DRAIN,MOVE_GRASSY_TERRAIN	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	7	Measured	TRUE	normal	SPECIES_BULBASAUR	starter:game_start
SPECIES_IVYSAUR	2	2	Ivysaur	base	NONE	TYPE_GRASS	TYPE_POISON	60	62	63	80	80	60	405	ABILITY_OVERGROW	ABILITY_NONE	ABILITY_CHLOROPHYLL	45	142	ternary_gen5plus:142|pre:141	SpAttack:1,SpDefense:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_GRASS	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	EVO_LEVEL:36:SPECIES_VENUSAUR	MOVE_TACKLE:1,MOVE_GROWL:1,MOVE_LEECH_SEED:1,MOVE_GROWL:3,MOVE_LEECH_SEED:7,MOVE_MAGICAL_LEAF:9,MOVE_POISON_POWDER:13,MOVE_SLEEP_POWDER:13,MOVE_SLUDGE:15,MOVE_MEGA_DRAIN:20,MOVE_TAKE_DOWN:23,MOVE_GROWTH:28,MOVE_DOUBLE_EDGE:31,MOVE_SLUDGE_BOMB:36,MOVE_SYNTHESIS:39,MOVE_SOLAR_BEAM:44	MOVE_SEED_BOMB,MOVE_BULLET_SEED,MOVE_LIGHT_SCREEN,MOVE_GIGA_DRAIN,MOVE_WEATHER_BALL,MOVE_DIG,MOVE_REFLECT,MOVE_SLUDGE_BOMB,MOVE_ENERGY_BALL,MOVE_GRASSY_GLIDE,MOVE_VENOSHOCK,MOVE_KNOCK_OFF,MOVE_GRASS_KNOT,MOVE_CUT,MOVE_STRENGTH,MOVE_FLASH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_SWORDS_DANCE,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_POWER_WHIP	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	69	Measured	FALSE	normal	SPECIES_BULBASAUR	starter_lineage:evolution
SPECIES_VENUSAUR	3	3	Venusaur	base	NONE	TYPE_GRASS	TYPE_POISON	80	82	83	100	100	80	525	ABILITY_OVERGROW	ABILITY_NONE	ABILITY_CHLOROPHYLL	45	263	literal	SpAttack:2,SpDefense:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_GRASS	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_PETAL_DANCE:0,MOVE_PETAL_DANCE:1,MOVE_TACKLE:1,MOVE_GROWL:1,MOVE_LEECH_SEED:1,MOVE_MAGICAL_LEAF:1,MOVE_GROWL:3,MOVE_LEECH_SEED:7,MOVE_VINE_WHIP:9,MOVE_POISON_POWDER:13,MOVE_SLEEP_POWDER:13,MOVE_TAKE_DOWN:15,MOVE_MEGA_DRAIN:20,MOVE_SLUDGE:23,MOVE_GROWTH:28,MOVE_DOUBLE_EDGE:31,MOVE_SLUDGE_BOMB:39,MOVE_SYNTHESIS:45,MOVE_PETAL_BLIZZARD:50,MOVE_SOLAR_BEAM:53,MOVE_CHLOROBLAST:64	MOVE_SEED_BOMB,MOVE_ROAR,MOVE_BULLET_SEED,MOVE_LIGHT_SCREEN,MOVE_GIGA_DRAIN,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_REFLECT,MOVE_SLUDGE_BOMB,MOVE_ENERGY_BALL,MOVE_GRASSY_GLIDE,MOVE_VENOSHOCK,MOVE_STOMPING_TANTRUM,MOVE_KNOCK_OFF,MOVE_EARTH_POWER,MOVE_GRASS_KNOT,MOVE_BULLDOZE,MOVE_CUT,MOVE_STRENGTH,MOVE_FLASH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_SWORDS_DANCE,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_POWER_WHIP	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	132	Measured	FALSE	normal	SPECIES_BULBASAUR	starter_lineage:evolution
SPECIES_VENUSAUR_MEGA	906	3	Venusaur	mega	isMegaEvolution	TYPE_GRASS	TYPE_POISON	80	100	123	122	120	80	625	ABILITY_THICK_FAT	ABILITY_THICK_FAT	ABILITY_THICK_FAT	45	313	ternary_gen5plus:313|pre:281	SpAttack:2,SpDefense:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_GRASS	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_PETAL_DANCE:0,MOVE_PETAL_DANCE:1,MOVE_TACKLE:1,MOVE_GROWL:1,MOVE_LEECH_SEED:1,MOVE_MAGICAL_LEAF:1,MOVE_GROWL:3,MOVE_LEECH_SEED:7,MOVE_VINE_WHIP:9,MOVE_POISON_POWDER:13,MOVE_SLEEP_POWDER:13,MOVE_TAKE_DOWN:15,MOVE_MEGA_DRAIN:20,MOVE_SLUDGE:23,MOVE_GROWTH:28,MOVE_DOUBLE_EDGE:31,MOVE_SLUDGE_BOMB:39,MOVE_SYNTHESIS:45,MOVE_PETAL_BLIZZARD:50,MOVE_SOLAR_BEAM:53,MOVE_CHLOROBLAST:64	MOVE_SEED_BOMB,MOVE_ROAR,MOVE_BULLET_SEED,MOVE_LIGHT_SCREEN,MOVE_GIGA_DRAIN,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_REFLECT,MOVE_SLUDGE_BOMB,MOVE_ENERGY_BALL,MOVE_GRASSY_GLIDE,MOVE_VENOSHOCK,MOVE_STOMPING_TANTRUM,MOVE_KNOCK_OFF,MOVE_EARTH_POWER,MOVE_GRASS_KNOT,MOVE_BULLDOZE,MOVE_CUT,MOVE_STRENGTH,MOVE_FLASH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_SWORDS_DANCE,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_POWER_WHIP	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	216	Measured	FALSE	NONE	NONE	UNK
SPECIES_VENUSAUR_GMAX	1494	3	Venusaur	gigantamax	isGigantamax	TYPE_GRASS	TYPE_POISON	80	82	83	100	100	80	525	ABILITY_OVERGROW	ABILITY_NONE	ABILITY_CHLOROPHYLL	45	236	literal	SpAttack:2,SpDefense:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_GRASS	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_PETAL_DANCE:0,MOVE_PETAL_DANCE:1,MOVE_TACKLE:1,MOVE_GROWL:1,MOVE_LEECH_SEED:1,MOVE_MAGICAL_LEAF:1,MOVE_GROWL:3,MOVE_LEECH_SEED:7,MOVE_VINE_WHIP:9,MOVE_POISON_POWDER:13,MOVE_SLEEP_POWDER:13,MOVE_TAKE_DOWN:15,MOVE_MEGA_DRAIN:20,MOVE_SLUDGE:23,MOVE_GROWTH:28,MOVE_DOUBLE_EDGE:31,MOVE_SLUDGE_BOMB:39,MOVE_SYNTHESIS:45,MOVE_PETAL_BLIZZARD:50,MOVE_SOLAR_BEAM:53,MOVE_CHLOROBLAST:64	MOVE_SEED_BOMB,MOVE_ROAR,MOVE_BULLET_SEED,MOVE_LIGHT_SCREEN,MOVE_GIGA_DRAIN,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_REFLECT,MOVE_SLUDGE_BOMB,MOVE_ENERGY_BALL,MOVE_GRASSY_GLIDE,MOVE_VENOSHOCK,MOVE_STOMPING_TANTRUM,MOVE_KNOCK_OFF,MOVE_EARTH_POWER,MOVE_GRASS_KNOT,MOVE_BULLDOZE,MOVE_CUT,MOVE_STRENGTH,MOVE_FLASH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_SWORDS_DANCE,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_POWER_WHIP	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	275	Measured	FALSE	NONE	NONE	UNK
SPECIES_CHARMANDER	4	4	Charmander	base	NONE	TYPE_FIRE	TYPE_FIRE	39	52	43	60	50	65	309	ABILITY_BLAZE	ABILITY_NONE	ABILITY_SOLAR_POWER	45	62	ternary_gen5plus:62|pre:65	Speed:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_DRAGON	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	EVO_LEVEL:16:SPECIES_CHARMELEON	MOVE_SCRATCH:1,MOVE_GROWL:1,MOVE_FALSE_SWIPE:5,MOVE_EMBER:7,MOVE_BRICK_BREAK:9,MOVE_ANCIENT_POWER:12,MOVE_FIRE_FANG:14,MOVE_SCARY_FACE:19,MOVE_THUNDERPUNCH:24,MOVE_FLAME_BURST:28,MOVE_SLASH:34,MOVE_FLAMETHROWER:37,MOVE_FIRE_SPIN:43,MOVE_INFERNO:46	MOVE_DRAGON_CLAW,MOVE_HEAT_WAVE,MOVE_WEATHER_BALL,MOVE_DIG,MOVE_BRICK_BREAK,MOVE_REFLECT,MOVE_FLAMETHROWER,MOVE_FIRE_BLAST,MOVE_ROCK_TOMB,MOVE_OVERHEAT,MOVE_TEMPER_FLARE,MOVE_DRAGON_PULSE,MOVE_WILL_O_WISP,MOVE_IRON_TAIL,MOVE_SHADOW_CLAW,MOVE_THUNDER_PUNCH,MOVE_ROCK_SLIDE,MOVE_AERIAL_ACE,MOVE_FIRE_PUNCH,MOVE_ACROBATICS,MOVE_SCORCHING_SANDS,MOVE_CUT,MOVE_STRENGTH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_POWER_UP_PUNCH,MOVE_FLAME_CHARGE,MOVE_DRAGON_DANCE,MOVE_SWORDS_DANCE,MOVE_FIRE_FANG,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_FOCUS_PUNCH,MOVE_FLARE_BLITZ	MOVE_BELLY_DRUM,MOVE_ANCIENT_POWER,MOVE_BITE,MOVE_OUTRAGE,MOVE_FIRE_LASH,MOVE_DRAGON_DANCE,MOVE_CRUNCH,MOVE_DRAGON_RUSH,MOVE_METAL_CLAW,MOVE_FLARE_BLITZ,MOVE_COUNTER,MOVE_DRAGON_PULSE,MOVE_FOCUS_PUNCH,MOVE_AIR_CUTTER	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	336	Measured	TRUE	normal	SPECIES_CHARMANDER	starter:game_start
SPECIES_CHARMELEON	5	5	Charmeleon	base	NONE	TYPE_FIRE	TYPE_FIRE	58	64	58	80	65	80	405	ABILITY_BLAZE	ABILITY_NONE	ABILITY_SOLAR_POWER	45	142	literal	Speed:1,SpAttack:1	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_DRAGON	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	EVO_LEVEL:36:SPECIES_CHARIZARD	MOVE_INCINERATE:0,MOVE_INCINERATE:1,MOVE_SCRATCH:1,MOVE_GROWL:1,MOVE_FALSE_SWIPE:5,MOVE_EMBER:7,MOVE_BRICK_BREAK:9,MOVE_ANCIENT_POWER:12,MOVE_FIRE_FANG:15,MOVE_SCARY_FACE:21,MOVE_THUNDERPUNCH:24,MOVE_FLAME_BURST:28,MOVE_SLASH:37,MOVE_FLAMETHROWER:43,MOVE_FIRE_SPIN:50,MOVE_INFERNO:54	MOVE_DRAGON_CLAW,MOVE_HEAT_WAVE,MOVE_WEATHER_BALL,MOVE_DIG,MOVE_BRICK_BREAK,MOVE_REFLECT,MOVE_FLAMETHROWER,MOVE_FIRE_BLAST,MOVE_ROCK_TOMB,MOVE_OVERHEAT,MOVE_TEMPER_FLARE,MOVE_DRAGON_PULSE,MOVE_WILL_O_WISP,MOVE_IRON_TAIL,MOVE_SHADOW_CLAW,MOVE_THUNDER_PUNCH,MOVE_ROCK_SLIDE,MOVE_AERIAL_ACE,MOVE_FIRE_PUNCH,MOVE_ACROBATICS,MOVE_SCORCHING_SANDS,MOVE_CUT,MOVE_STRENGTH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_POWER_UP_PUNCH,MOVE_FLAME_CHARGE,MOVE_DRAGON_DANCE,MOVE_SWORDS_DANCE,MOVE_FIRE_FANG,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_FOCUS_PUNCH,MOVE_FLARE_BLITZ	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	398	Measured	FALSE	normal	SPECIES_CHARMANDER	starter_lineage:evolution
SPECIES_CHARIZARD	6	6	Charizard	base	NONE	TYPE_FIRE	TYPE_FLYING	78	84	78	109	85	100	534	ABILITY_BLAZE	ABILITY_NONE	ABILITY_SOLAR_POWER	45	267	literal	SpAttack:3	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_DRAGON	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_DUAL_WINGBEAT:0,MOVE_DUAL_WINGBEAT:1,MOVE_INCINERATE:1,MOVE_FLARE_BLITZ:1,MOVE_HEAT_WAVE:1,MOVE_DRAGON_CLAW:1,MOVE_SHADOW_CLAW:1,MOVE_AIR_SLASH:1,MOVE_SCRATCH:1,MOVE_GROWL:1,MOVE_FALSE_SWIPE:5,MOVE_EMBER:7,MOVE_BRICK_BREAK:9,MOVE_ANCIENT_POWER:12,MOVE_FIRE_FANG:15,MOVE_DRAGON_RAGE:17,MOVE_SCARY_FACE:21,MOVE_THUNDERPUNCH:24,MOVE_FLAME_BURST:28,MOVE_SLASH:41,MOVE_FLAMETHROWER:47,MOVE_FIRE_SPIN:51,MOVE_INFERNO:56,MOVE_DRAGON_DANCE:60,MOVE_HEAT_WAVE:71,MOVE_FLARE_BLITZ:77	MOVE_DRAGON_CLAW,MOVE_ROAR,MOVE_HEAT_WAVE,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_BRICK_BREAK,MOVE_AURA_SPHERE,MOVE_REFLECT,MOVE_FLAMETHROWER,MOVE_FIRE_BLAST,MOVE_ROCK_TOMB,MOVE_DEFOG,MOVE_STEEL_WING,MOVE_HURRICANE,MOVE_OVERHEAT,MOVE_ROOST,MOVE_FOCUS_BLAST,MOVE_AIR_SLASH,MOVE_TEMPER_FLARE,MOVE_DRAGON_PULSE,MOVE_WILL_O_WISP,MOVE_IRON_TAIL,MOVE_SHADOW_CLAW,MOVE_THUNDER_PUNCH,MOVE_ROCK_SLIDE,MOVE_AERIAL_ACE,MOVE_DRAGON_TAIL,MOVE_SCALE_SHOT,MOVE_BULLDOZE,MOVE_FIRE_PUNCH,MOVE_DUAL_WINGBEAT,MOVE_ACROBATICS,MOVE_SCORCHING_SANDS,MOVE_HEAT_CRASH,MOVE_DRACO_METEOR,MOVE_CUT,MOVE_FLY,MOVE_STRENGTH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_POWER_UP_PUNCH,MOVE_FLAME_CHARGE,MOVE_TAILWIND,MOVE_DRAGON_DANCE,MOVE_SWORDS_DANCE,MOVE_FIRE_FANG,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_BLAZE_KICK,MOVE_MYSTICAL_FIRE,MOVE_FOCUS_PUNCH,MOVE_FLARE_BLITZ,MOVE_DRACO_BARRAGE	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	461	Measured	FALSE	normal	SPECIES_CHARMANDER	starter_lineage:evolution
SPECIES_CHARIZARD_MEGA_X	907	6	Charizard	mega	isMegaEvolution	TYPE_FIRE	TYPE_DRAGON	78	130	111	130	85	100	634	ABILITY_TOUGH_CLAWS	ABILITY_TOUGH_CLAWS	ABILITY_TOUGH_CLAWS	45	317	ternary_gen5plus:317|pre:285	SpAttack:3	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_DRAGON	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_DUAL_WINGBEAT:0,MOVE_DUAL_WINGBEAT:1,MOVE_INCINERATE:1,MOVE_FLARE_BLITZ:1,MOVE_HEAT_WAVE:1,MOVE_DRAGON_CLAW:1,MOVE_SHADOW_CLAW:1,MOVE_AIR_SLASH:1,MOVE_SCRATCH:1,MOVE_GROWL:1,MOVE_FALSE_SWIPE:5,MOVE_EMBER:7,MOVE_BRICK_BREAK:9,MOVE_ANCIENT_POWER:12,MOVE_FIRE_FANG:15,MOVE_DRAGON_RAGE:17,MOVE_SCARY_FACE:21,MOVE_THUNDERPUNCH:24,MOVE_FLAME_BURST:28,MOVE_SLASH:41,MOVE_FLAMETHROWER:47,MOVE_FIRE_SPIN:51,MOVE_INFERNO:56,MOVE_DRAGON_DANCE:60,MOVE_HEAT_WAVE:71,MOVE_FLARE_BLITZ:77	MOVE_DRAGON_CLAW,MOVE_ROAR,MOVE_HEAT_WAVE,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_BRICK_BREAK,MOVE_AURA_SPHERE,MOVE_REFLECT,MOVE_FLAMETHROWER,MOVE_FIRE_BLAST,MOVE_ROCK_TOMB,MOVE_DEFOG,MOVE_STEEL_WING,MOVE_HURRICANE,MOVE_OVERHEAT,MOVE_ROOST,MOVE_FOCUS_BLAST,MOVE_AIR_SLASH,MOVE_TEMPER_FLARE,MOVE_DRAGON_PULSE,MOVE_WILL_O_WISP,MOVE_IRON_TAIL,MOVE_SHADOW_CLAW,MOVE_THUNDER_PUNCH,MOVE_ROCK_SLIDE,MOVE_AERIAL_ACE,MOVE_DRAGON_TAIL,MOVE_SCALE_SHOT,MOVE_BULLDOZE,MOVE_FIRE_PUNCH,MOVE_DUAL_WINGBEAT,MOVE_ACROBATICS,MOVE_SCORCHING_SANDS,MOVE_HEAT_CRASH,MOVE_DRACO_METEOR,MOVE_CUT,MOVE_FLY,MOVE_STRENGTH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_POWER_UP_PUNCH,MOVE_FLAME_CHARGE,MOVE_TAILWIND,MOVE_DRAGON_DANCE,MOVE_SWORDS_DANCE,MOVE_FIRE_FANG,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_BLAZE_KICK,MOVE_MYSTICAL_FIRE,MOVE_FOCUS_PUNCH,MOVE_FLARE_BLITZ,MOVE_DRACO_BARRAGE	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	532	Measured	FALSE	NONE	NONE	UNK
SPECIES_CHARIZARD_MEGA_Y	908	6	Charizard	mega	isMegaEvolution	TYPE_FIRE	TYPE_FLYING	78	104	78	159	115	100	634	ABILITY_DROUGHT	ABILITY_DROUGHT	ABILITY_SHEER_FORCE	45	317	ternary_gen5plus:317|pre:285	SpAttack:3	12.5	20	EGG_GROUP_MONSTER	EGG_GROUP_DRAGON	STANDARD_FRIENDSHIP	GROWTH_MEDIUM_SLOW	NONE	MOVE_DUAL_WINGBEAT:0,MOVE_DUAL_WINGBEAT:1,MOVE_INCINERATE:1,MOVE_FLARE_BLITZ:1,MOVE_HEAT_WAVE:1,MOVE_DRAGON_CLAW:1,MOVE_SHADOW_CLAW:1,MOVE_AIR_SLASH:1,MOVE_SCRATCH:1,MOVE_GROWL:1,MOVE_FALSE_SWIPE:5,MOVE_EMBER:7,MOVE_BRICK_BREAK:9,MOVE_ANCIENT_POWER:12,MOVE_FIRE_FANG:15,MOVE_DRAGON_RAGE:17,MOVE_SCARY_FACE:21,MOVE_THUNDERPUNCH:24,MOVE_FLAME_BURST:28,MOVE_SLASH:41,MOVE_FLAMETHROWER:47,MOVE_FIRE_SPIN:51,MOVE_INFERNO:56,MOVE_DRAGON_DANCE:60,MOVE_HEAT_WAVE:71,MOVE_FLARE_BLITZ:77	MOVE_DRAGON_CLAW,MOVE_ROAR,MOVE_HEAT_WAVE,MOVE_WEATHER_BALL,MOVE_EARTHQUAKE,MOVE_DIG,MOVE_BRICK_BREAK,MOVE_AURA_SPHERE,MOVE_REFLECT,MOVE_FLAMETHROWER,MOVE_FIRE_BLAST,MOVE_ROCK_TOMB,MOVE_DEFOG,MOVE_STEEL_WING,MOVE_HURRICANE,MOVE_OVERHEAT,MOVE_ROOST,MOVE_FOCUS_BLAST,MOVE_AIR_SLASH,MOVE_TEMPER_FLARE,MOVE_DRAGON_PULSE,MOVE_WILL_O_WISP,MOVE_IRON_TAIL,MOVE_SHADOW_CLAW,MOVE_THUNDER_PUNCH,MOVE_ROCK_SLIDE,MOVE_AERIAL_ACE,MOVE_DRAGON_TAIL,MOVE_SCALE_SHOT,MOVE_BULLDOZE,MOVE_FIRE_PUNCH,MOVE_DUAL_WINGBEAT,MOVE_ACROBATICS,MOVE_SCORCHING_SANDS,MOVE_HEAT_CRASH,MOVE_DRACO_METEOR,MOVE_CUT,MOVE_FLY,MOVE_STRENGTH,MOVE_ROCK_SMASH,MOVE_WORK_UP,MOVE_POWER_UP_PUNCH,MOVE_FLAME_CHARGE,MOVE_TAILWIND,MOVE_DRAGON_DANCE,MOVE_SWORDS_DANCE,MOVE_FIRE_FANG,MOVE_BODY_SLAM,MOVE_SUNNY_DAY,MOVE_SOLAR_BEAM,MOVE_BLAZE_KICK,MOVE_MYSTICAL_FIRE,MOVE_FOCUS_PUNCH,MOVE_FLARE_BLITZ,MOVE_DRACO_BARRAGE	NONE	FALSE	FALSE	NONE	FALSE	src/data/pokemon/species_info/gen_1_families.h	587	Measured	FALSE	NONE	NONE	UNK
