move_const	move_name	type	category	power	accuracy	pp	priority	effect	target	flags	description	source_file	source_line	confidence
MOVE_NONE	-	TYPE_NORMAL	PHYSICAL	0	0	0	0	EFFECT_HIT	SELECTED	NONE	NONE	src/data/moves_info.h	115	Measured
MOVE_POUND	Pound	TYPE_NORMAL	PHYSICAL	40	100	35	0	EFFECT_HIT	SELECTED	makesContact	Pounds the foe with  forelegs or tail.	src/data/moves_info.h	133	Measured
MOVE_KARATE_CHOP	Karate Chop	TYPE_FIGHTING	PHYSICAL	50	100	25	0	EFFECT_HIT	SELECTED	makesContact,criticalHitStage:1	A chopping attack with a  high critical-hit ratio.	src/data/moves_info.h	156	Measured
MOVE_DOUBLE_SLAP	Double Slap	TYPE_NORMAL	PHYSICAL	15	100	10	0	EFFECT_MULTI_HIT	SELECTED	makesContact	Repeatedly slaps the foe  2 to 5 times.	src/data/moves_info.h	179	Measured
MOVE_COMET_PUNCH	Comet Punch	TYPE_NORMAL	PHYSICAL	18	85	15	0	EFFECT_MULTI_HIT	SELECTED	makesContact,punchingMove	Repeatedly punches the foe  2 to 5 times.	src/data/moves_info.h	201	Measured
MOVE_MEGA_PUNCH	Mega Punch	TYPE_NORMAL	PHYSICAL	80	85	20	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	A strong punch thrown with  incredible power.	src/data/moves_info.h	224	Measured
MOVE_PAY_DAY	Pay Day	TYPE_NORMAL	PHYSICAL	40	100	20	0	EFFECT_HIT	SELECTED	NONE	Throws coins at the foe.  Money is recovered after.	src/data/moves_info.h	247	Measured
MOVE_FIRE_PUNCH	Fire Punch	TYPE_FIRE	PHYSICAL	75	100	15	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	A fiery punch that may burn  the foe.	src/data/moves_info.h	271	Measured
MOVE_ICE_PUNCH	Ice Punch	TYPE_ICE	PHYSICAL	75	100	15	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	An icy punch that may  leave the foe with frostbite.	src/data/moves_info.h	298	Measured
MOVE_THUNDER_PUNCH	Thunder Punch	TYPE_ELECTRIC	PHYSICAL	75	100	15	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	An electrified punch that  may paralyze the foe.	src/data/moves_info.h	329	Measured
MOVE_SCRATCH	Scratch	TYPE_NORMAL	PHYSICAL	40	100	35	0	EFFECT_HIT	SELECTED	makesContact	Scratches the foe with  sharp claws.	src/data/moves_info.h	356	Measured
MOVE_VISE_GRIP	Vise Grip	TYPE_NORMAL	PHYSICAL	55	100	30	0	EFFECT_HIT	SELECTED	makesContact	Grips the foe with large and  powerful pincers.	src/data/moves_info.h	378	Measured
