species_const	species_name	earliest_cp	entry_reason	availability_confidence	in_pool
SPECIES_BULBASAUR	Bulbasaur	1	starter:game_start	Measured	TRUE
SPECIES_IVYSAUR	Ivysaur	2	evolution:EVO_LEVEL@16:from SPECIES_BULBASAUR	Derived	TRUE
SPECIES_VENUSAUR	Venusaur	7	evolution:EVO_LEVEL@36:from SPECIES_IVYSAUR	Derived	TRUE
SPECIES_VENUSAUR_MEGA	Venusaur	7	mega/primal form of SPECIES_VENUSAUR (stone not resolved)	Inferred	TRUE
SPECIES_VENUSAUR_GMAX	Venusaur	UNK	no path found	UNK	FALSE
SPECIES_CHARMANDER	Charmander	1	starter:game_start	Measured	TRUE
SPECIES_CHARMELEON	Charmeleon	2	evolution:EVO_LEVEL@16:from SPECIES_CHARMANDER	Derived	TRUE
SPECIES_CHARIZARD	Charizard	7	evolution:EVO_LEVEL@36:from SPECIES_CHARMELEON	Derived	TRUE
SPECIES_CHARIZARD_MEGA_X	Charizard	7	mega/primal form of SPECIES_CHARIZARD (stone not resolved)	Inferred	TRUE
SPECIES_CHARIZARD_MEGA_Y	Charizard	7	mega/primal form of SPECIES_CHARIZARD (stone not resolved)	Inferred	TRUE
SPECIES_CHARIZARD_GMAX	Charizard	UNK	no path found	UNK	FALSE
SPECIES_SQUIRTLE	Squirtle	1	starter:game_start	Measured	TRUE
SPECIES_WARTORTLE	Wartortle	2	evolution:EVO_LEVEL@16:from SPECIES_SQUIRTLE	Derived	TRUE
SPECIES_BLASTOISE	Blastoise	7	evolution:EVO_LEVEL@36:from SPECIES_WARTORTLE	Derived	TRUE
SPECIES_BLASTOISE_MEGA	Blastoise	7	mega/primal form of SPECIES_BLASTOISE (stone not resolved)	Inferred	TRUE
SPECIES_BLASTOISE_GMAX	Blastoise	UNK	no path found	UNK	FALSE
SPECIES_CATERPIE	Caterpie	1	wild	Asserted	TRUE
SPECIES_METAPOD	Metapod	1	evolution:EVO_LEVEL@7:from SPECIES_CATERPIE	Derived	TRUE
SPECIES_BUTTERFREE	Butterfree	1	evolution:EVO_LEVEL@10:from SPECIES_METAPOD	Derived	TRUE
SPECIES_BUTTERFREE_MEGA	Butterfree	1	mega/primal form of SPECIES_BUTTERFREE (stone not resolved)	Inferred	TRUE
SPECIES_WEEDLE	Weedle	1	wild	Asserted	TRUE
SPECIES_KAKUNA	Kakuna	1	evolution:EVO_LEVEL@7:from SPECIES_WEEDLE	Derived	TRUE
SPECIES_BEEDRILL	Beedrill	1	evolution:EVO_LEVEL@10:from SPECIES_KAKUNA	Derived	TRUE
SPECIES_BEEDRILL_MEGA	Beedrill	1	mega/primal form of SPECIES_BEEDRILL (stone not resolved)	Inferred	TRUE
SPECIES_PIDGEY	Pidgey	1	wild	Asserted	TRUE
SPECIES_PIDGEOTTO	Pidgeotto	2	evolution:EVO_LEVEL@16:from SPECIES_PIDGEY	Derived	TRUE
SPECIES_PIDGEOT	Pidgeot	7	evolution:EVO_LEVEL@36:from SPECIES_PIDGEOTTO	Derived	TRUE
SPECIES_PIDGEOT_MEGA	Pidgeot	7	mega/primal form of SPECIES_PIDGEOT (stone not resolved)	Inferred	TRUE
SPECIES_RATTATA	Rattata	1	wild	Asserted	TRUE
SPECIES_RATICATE	Raticate	2	evolution:EVO_LEVEL@16:from SPECIES_RATTATA	Derived	TRUE
SPECIES_RATTATA_ALOLA	Rattata	3	wild	Asserted	TRUE
SPECIES_RATICATE_ALOLA	Raticate	3	evolution:EVO_LEVEL_NIGHT@16:from SPECIES_RATTATA_ALOLA	Derived	TRUE
SPECIES_RATICATE_ALOLA_TOTEM	Raticate	3	evolution:EVO_NONE:0:from SPECIES_RATTATA_ALOLA	Inferred	TRUE
SPECIES_SPEAROW	Spearow	6	wild	Asserted	TRUE
SPECIES_FEAROW	Fearow	6	evolution:EVO_LEVEL@20:from SPECIES_SPEAROW	Derived	TRUE
SPECIES_EKANS	Ekans	1	wild	Asserted	TRUE
SPECIES_ARBOK	Arbok	3	evolution:EVO_LEVEL@22:from SPECIES_EKANS	Derived	TRUE
SPECIES_PICHU	Pichu	1	starter:game_start	Measured	TRUE
SPECIES_PICHU_SPIKY_EARED	Pichu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU	Pikachu	1	evolution:EVO_FRIENDSHIP:0:from SPECIES_PICHU	Inferred	TRUE
SPECIES_PIKACHU_COSPLAY	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_ROCK_STAR	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_BELLE	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_POP_STAR	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_PHD	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_LIBRE	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_SURFING	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_FLYING	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_ORIGINAL	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_HOENN	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_SINNOH	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_UNOVA	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_KALOS	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_ALOLA	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_PARTNER	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_WORLD	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_GMAX	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_PIKACHU_STARTER	Pikachu	UNK	no path found	UNK	FALSE
SPECIES_RAICHU	Raichu	1	evolution:EVO_ITEM:ITEM_THUNDER_STONE	Derived	TRUE
SPECIES_RAICHU_ALOLA	Raichu	5	evolution:EVO_ITEM:ITEM_SHINY_STONE	Derived	TRUE
SPECIES_SANDSHREW	Sandshrew	2	wild	Asserted	TRUE
SPECIES_SANDSLASH	Sandslash	3	evolution:EVO_LEVEL@22:from SPECIES_SANDSHREW	Derived	TRUE
SPECIES_SANDSHREW_ALOLA	Sandshrew	1	wild	Asserted	TRUE
SPECIES_SANDSLASH_ALOLA	Sandslash	5	evolution:EVO_ITEM:ITEM_ICE_STONE	Derived	TRUE
SPECIES_NIDORAN_F	Nidoran♀	1	wild	Asserted	TRUE
SPECIES_NIDORINA	Nidorina	2	evolution:EVO_LEVEL@16:from SPECIES_NIDORAN_F	Derived	TRUE
SPECIES_NIDOQUEEN	Nidoqueen	13	evolution:EVO_ITEM:ITEM_MOON_STONE	Derived	TRUE
