map	earliest_cp	confidence	provenance	encounter_records
ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS	9	Asserted	walkthrough: creator ordering	16
ABANDONED_SHIP_ROOMS_B1F	9	Asserted	walkthrough: creator ordering	16
ALTERING_CAVE	19	Asserted	walkthrough: creator ordering	108
ANCIENT_TOMB	19	Asserted	walkthrough: creator ordering	12
ARTISAN_CAVE_1F	19	Asserted	walkthrough: creator ordering	12
ARTISAN_CAVE_B1F	19	Asserted	walkthrough: creator ordering	12
CAVE_OF_ORIGIN_1F	16	Asserted	walkthrough: creator ordering	12
CAVE_OF_ORIGIN_ENTRANCE	16	Asserted	walkthrough: creator ordering	12
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1	19	Asserted	walkthrough: creator ordering	12
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2	19	Asserted	walkthrough: creator ordering	12
CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3	19	Asserted	walkthrough: creator ordering	12
DESERT_RUINS	19	Asserted	walkthrough: creator ordering	12
DESERT_UNDERPASS	19	Asserted	walkthrough: creator ordering	12
DEWFORD_TOWN	3	Asserted	walkthrough: creator ordering	16
EVER_GRANDE_CITY	18	Asserted	walkthrough: creator ordering	28
FIERY_PATH	7	Asserted	walkthrough: creator ordering	12
FLOATING_SLAB	19	Asserted	walkthrough: creator ordering	5
GRANITE_CAVE_1F	3	Asserted	walkthrough: creator ordering	12
GRANITE_CAVE_B1F	3	Asserted	walkthrough: creator ordering	12
GRANITE_CAVE_B2F	3	Asserted	walkthrough: creator ordering	17
GRANITE_CAVE_STEVENS_ROOM	3	Asserted	walkthrough: creator ordering	12
GRASSY_SLAB	19	Asserted	walkthrough: creator ordering	5
ISLAND_CAVE	19	Asserted	walkthrough: creator ordering	12
JAGGED_PASS	7	Asserted	walkthrough: creator ordering	12
LILYCOVE_CITY	13	Derived	source: item placement	26
MAGMA_HIDEOUT_1F	16	Asserted	walkthrough: creator ordering	12
MAGMA_HIDEOUT_2F_1R	16	Asserted	walkthrough: creator ordering	10
MAGMA_HIDEOUT_2F_2R	16	Asserted	walkthrough: creator ordering	10
MAGMA_HIDEOUT_2F_3R	16	Asserted	walkthrough: creator ordering	10
