entity_type	item_const	item_name	method	map	region	x	y	flag	quantity	price	pocket	hold_effect	earliest_gate	prerequisites	missable	source_file	confidence	earliest_gate_confidence	access_wave
item	ITEM_STORAGE_KEY	Storage Key	ground	AbandonedShip_CaptainsOffice	ABANDONED_SHIP	0	6	FLAG_ITEM_ABANDONED_SHIP_CAPTAINS_OFFICE_STORAGE_KEY	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_CaptainsOffice/map.json	Measured	NA	9
item	ITEM_LUXURY_BALL	Luxury Ball	ground	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	41	4	FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_6_LUXURY_BALL	1	100	POKE_BALLS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_SCANNER	Scanner	ground	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	16	10	FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_2_SCANNER	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_HEAL_BALL	Heal Ball	ground	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	5	11	FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_1_TM_RAIN_DANCE	1	100	POKE_BALLS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_WATER_STONE	Water Stone	ground	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	31	11	FLAG_ITEM_ABANDONED_SHIP_HIDDEN_FLOOR_ROOM_3_WATER_STONE	1	500	ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_OLD_SEA_MAP	Old Sea Map	ground	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	9	2	FLAG_ENABLE_SHIP_FARAWAY_ISLAND	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_KEY_TO_ROOM_1	Key to Room 1	hidden	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	42	10	FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_1_KEY	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_KEY_TO_ROOM_2	Key to Room 2	hidden	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	20	5	FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_2_KEY	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_KEY_TO_ROOM_4	Key to Room 4	hidden	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	1	12	FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_4_KEY	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
item	ITEM_KEY_TO_ROOM_6	Key to Room 6	hidden	AbandonedShip_HiddenFloorRooms	ABANDONED_SHIP	1	2	FLAG_HIDDEN_ITEM_ABANDONED_SHIP_RM_6_KEY	1	0	KEY_ITEMS	NONE	UNK	UNK	UNK	data/maps/AbandonedShip_HiddenFloorRooms/map.json	Measured	NA	UNK
