order	gate_flag	level_cap	confidence
1	FLAG_BADGE01_GET	15	Measured
2	FLAG_DEFEATED_RIVAL_RUSTBORO	20	Measured
3	FLAG_BADGE02_GET	25	Measured
4	FLAG_HIDE_ROUTE_110_TEAM_AQUA	30	Measured
5	FLAG_RIVAL_110	32	Measured
6	FLAG_BADGE03_GET	34	Measured
7	FLAG_DEFEATED_EVIL_TEAM_MT_CHIMNEY	44	Measured
8	FLAG_BADGE04_GET	47	Measured
9	FLAG_BEAT_TRICK_HOUSE_3	56	Measured
10	FLAG_BADGE05_GET	59	Measured
11	FLAG_RECEIVED_HM_FLY	64	Measured
12	FLAG_BADGE06_GET	68	Measured
13	FLAG_DAWN_LILYCOVE	71	Measured
14	FLAG_TEAM_AQUA_ESCAPED_IN_SUBMARINE	74	Measured
15	FLAG_BADGE07_GET	76	Measured
16	FLAG_KYOGRE_ESCAPED_SEAFLOOR_CAVERN	80	Measured
17	FLAG_BADGE08_GET	82	Measured
18	FLAG_DEFEATED_WALLY_VICTORY_ROAD	84	Measured
19	FLAG_IS_CHAMPION	85	Measured
