species_const	species_name	checkpoint	roster_cp	roster_borrowed	level	floor_score	floor_moves	ceiling_score	ceiling_track	ceiling_ability	ceiling_nature	ceiling_item	ceiling_moves	ceiling_item_reliable	investment_delta	item_dependence	unreliable_best_item	ceiling_verdict_score	ceiling_win_rate	ceiling_chipped_win_rate	ceiling_outspeeds_rate	ceiling_mean_margin	cells	candidates_tested	beats_sample	loses_to_sample	confidence
SPECIES_SLAKOTH	Slakoth	1	1	FALSE	15	0.5304	Feint Attack,Slack Off,Encore,Scratch	0.9746	support	ABILITY_TRUANT	Careful	ITEM_BERRY_JUICE	Body Slam,Yawn,Slack Off,Sunny Day	TRUE	0.4442	0.0	NA	1.0	1.0	1.0	0.6154	78.538	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_DUNSPARCE	Dunsparce	1	1	FALSE	15	0.2648	Dual Wingbeat,Screech,Pursuit,Spite	0.9555	support	ABILITY_SERENE_GRACE	Careful	ITEM_BERRY_JUICE	Body Slam,Roost,Thunder Wave,Stealth Rock	TRUE	0.6907	0.0	NA	0.9237	0.7692	0.7692	1.0	73.942	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MORELULL	Morelull	1	1	FALSE	15	0.6434	Mega Drain,Moonlight,Flash,Draining Kiss	0.9555	support	ABILITY_ILLUMINATE	Calm	ITEM_BERRY_JUICE	Solar Beam,Moonlight,Light Screen,Thunder Wave	TRUE	0.3121	0.0	NA	0.9237	0.7692	0.7692	0.8077	42.019	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_ALTARIA	Altaria	1	1	FALSE	15	0.5473	Icy Wind,Mist,Disarming Voice,Safeguard	0.9492	support	ABILITY_NATURAL_CURE	Bold	ITEM_BERRY_JUICE	Sky Attack,Roar,Defog,Roost	TRUE	0.4019	0.0	NA	0.9237	0.7692	0.7692	0.8077	41.192	26	16	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_SALAMENCE_MEGA	Salamence-Mega	1	1	FALSE	15	0.678	Dragon Breath,Bite,Leer,Ember	0.9492	physical	ABILITY_AERILATE	Adamant	ITEM_WEAKNESS_POLICY	Fly,Dragon Claw,Earthquake,Dragon Tail	TRUE	0.2712	0.0	NA	0.9237	0.7692	0.7692	1.0	76.192	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_MANDIBUZZ	Mandibuzz	1	1	FALSE	15	0.6179	Nasty Plot,Pluck,Fury Attack,Bone Rush	0.9492	support	ABILITY_FRISK	Bold	ITEM_BERRY_JUICE	Brave Bird,Whirlwind,Defog,Roost	TRUE	0.3313	0.0	NA	0.9237	0.7692	0.7692	0.8077	59.462	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_VENUSAUR_MEGA	Venusaur-Mega	1	1	FALSE	15	0.7592	Take Down,Poison Powder,Sleep Powder,Vine Whip	0.9364	special	ABILITY_THICK_FAT	Modest	ITEM_WEAKNESS_POLICY	Petal Dance,Sludge Bomb,Earth Power,Solar Beam	TRUE	0.1772	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_BLASTOISE	Blastoise	1	1	FALSE	15	0.5297	Bubble,Withdraw,Water Gun,Tail Whip	0.9364	special	ABILITY_TORRENT	Modest	ITEM_WEAKNESS_POLICY	Hydro Pump,Focus Blast,Blizzard,Surf	TRUE	0.4067	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	12	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_BLASTOISE_MEGA	Blastoise-Mega	1	1	FALSE	15	0.6003	Bubble,Withdraw,Water Gun,Tail Whip	0.9364	special	ABILITY_MEGA_LAUNCHER	Modest	ITEM_WEAKNESS_POLICY	Hydro Pump,Focus Blast,Blizzard,Surf	TRUE	0.3361	0.0	NA	0.9237	0.7692	0.7692	1.0	75.885	26	4	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
SPECIES_PIDGEOTTO	Pidgeotto	1	1	FALSE	15	0.2648	Take Down,Quick Attack,Gust,Feather Dance	0.9364	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	Brave Bird,Reflect,Defog,Roost	TRUE	0.6716	0.0	NA	0.9237	0.7692	0.7692	0.8077	40.885	26	8	Gligar@Leader Roxanne,Gligar@Leader Roxanne2,Gligar@Leader Roxanne3,Gligar@Leader Roxanne4,Gligar@Leader Roxanne5	NONE	Derived
