species_const	species_name	checkpoint	primary_role	hybrid_role	top3	ceiling_fit	floor_fit	replacement_fit	vorp	tier	investment_delta	S	T	Y	F	track	ability	nature	item	item_reliable	moves	bst	earliest_cp	availability_confidence	entry_reason	matrix_score	confidence	item_dependence	unreliable_best_item	cant_miss
SPECIES_LOPUNNY	Lopunny	1	cleric	revenge_killer	cleric:0.7486;revenge_killer:0.7324;tank:0.6708	0.7486	0.6611	0.7934	-0.0448	D	0.0875	0.676	0.55	0.385	1.0	support	ABILITY_CUTE_CHARM	Calm	ITEM_BERRY_JUICE	TRUE	Focus Punch,Healing Wish,Thunder Wave,Sunny Day	480	12	Inferred	evolution:EVO_FRIENDSHIP:0:from SPECIES_BUNEARY	0.715	Derived	0.0	NA	TRUE
SPECIES_GOOMY	Goomy	1	cleric	NA	cleric:0.6816;special_wall:0.6185;weather_terrain_setter:0.4566	0.6816	0.3245	0.7934	-0.1118	F	0.3571	0.391	0.55	0.0	1.0	support	ABILITY_SAP_SIPPER	Calm	ITEM_BERRY_JUICE	TRUE	Draco Meteor,Rain Dance,Wish,Draco Barrage	300	7	Asserted	wild	0.9364	Derived	0.0	NA	FALSE
SPECIES_FOMANTIS	Fomantis	1	cleric	NA	cleric:0.581;weather_terrain_setter:0.356	0.581	0.0	0.7934	-0.2124	F	0.581	0.068	0.3	0.192	1.0	support	ABILITY_LEAF_GUARD	Calm	ITEM_BERRY_JUICE	TRUE	Leaf Storm,Sunny Day,Aromatherapy,Solar Beam	250	1	Asserted	wild	0.6532	Derived	0.0	NA	FALSE
SPECIES_ROCKRUFF	Rockruff	1	hazard_setter	NA	hazard_setter:0.3595	0.3595	0.0	0.4393	-0.0798	D	0.3595	0.132	0.3	0.423	0.442	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Stone Edge,Stealth Rock,Rock Slide,Rock Tomb	280	6	Asserted	wild	0.2719	Derived	0.3613	ITEM_CHOICE_BAND	FALSE
SPECIES_WHIRLIPEDE	Whirlipede	1	hazard_setter	NA	hazard_setter:0.3501	0.3501	0.0	0.4393	-0.0892	D	0.3501	0.461	0.3	0.0	0.442	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Sludge Bomb,Spikes,Poison Jab,Venoshock	360	3	Derived	evolution:EVO_LEVEL@22:from SPECIES_VENIPEDE	0.1271	Derived	0.0	NA	FALSE
SPECIES_VENIPEDE	Venipede	1	hazard_setter	NA	hazard_setter:0.3241	0.3241	0.0	0.4393	-0.1152	F	0.3241	0.201	0.3	0.0	0.442	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Sludge Bomb,Spikes,Toxic Spikes,Poison Jab	260	1	Measured	starter:game_start	0.0177	Derived	0.0	NA	FALSE
SPECIES_SPINARAK	Spinarak	1	hazard_setter	NA	hazard_setter:0.3131	0.3131	0.0	0.4393	-0.1262	F	0.3131	0.091	0.3	0.0	0.442	support	ABILITY_SWARM	Calm	ITEM_BERRY_JUICE	TRUE	Megahorn,Toxic Spikes,Rage Powder,Sludge Bomb	250	11	Asserted	wild	0.3355	Derived	0.1176	ITEM_LIFE_ORB	FALSE
SPECIES_RAICHU_ALOLA	Raichu-Alola	1	mixed_attacker	wallbreaker_spec	mixed_attacker:0.62;wallbreaker_spec:0.599;wallbreaker_phys:0.5676	0.62	0.6517	UNDEFINED	UNDEFINED	NR	-0.0317	0.733	1.0	1.0	0.217	mixed	ABILITY_SURGE_SURFER	Serious	ITEM_BLACK_BELT	TRUE	Future Sight,Thunder,Wild Charge,Focus Punch	485	5	Derived	evolution:EVO_ITEM:ITEM_SHINY_STONE	0.6427	Derived	0.0256	ITEM_LIFE_ORB	NA
SPECIES_BELLOSSOM	Bellossom	1	mixed_attacker	NA	mixed_attacker:0.9048;tank:0.805	0.9048	0.6769	UNDEFINED	UNDEFINED	NR	0.2279	0.681	1.0	0.962	0.976	mixed	ABILITY_CHLOROPHYLL	Rash	ITEM_FAIRY_FEATHER	TRUE	Leaf Storm,Moonblast,Leaf Blade,Play Rough	490	2	Derived	evolution:EVO_ITEM:ITEM_SUN_STONE	0.9364	Derived	0.0	NA	NA
SPECIES_ARCANINE	Arcanine	1	mixed_attacker	wallbreaker_phys	mixed_attacker:0.7504;wallbreaker_phys:0.7165;wallbreaker_spec:0.7109	0.7504	0.6175	UNDEFINED	UNDEFINED	NR	0.1329	0.854	1.0	1.0	0.467	mixed	ABILITY_INTIMIDATE	Serious	ITEM_BLACK_BELT	TRUE	Overheat,Flare Blitz,Close Combat,Solar Beam	555	1	Derived	evolution:EVO_ITEM:ITEM_FIRE_STONE	0.6886	Derived	0.0028	ITEM_CHOICE_BAND	NA
